9
#n byc film i na on pokazywac prezydencki sie z
0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.25 154
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Antoni
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Blasik
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Bronislaw
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Donald
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Kaczynski
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Komorowski
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Krauze
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Macierewicz
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Putin
0.0 0.8 0.0 0.0 0.0 0.0 0.0 0.6 1.0 Smolensk
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 Tusk
1.0 0.75 0.0 0.0 0.5 0.0 0.0 0.0 0.0 analiza
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 blad
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 bomba
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 brzoza
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 dym
0.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.5 ekspert
0.8461538461538461 0.0 0.07692307692307693 0.6153846153846154 0.3076923076923077 0.3076923076923077 0.15384615384615385 0.7692307692307693 1.0 film
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 general
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 hanba
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 identyfikacja
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 kabina
0.0 1.0 1.0 0.4 0.2 0.8 1.0 0.6 0.8 katastrofa
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 klamstwo
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 komisja
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 krzyk
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 krzyz
0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 lotnisko
0.0 1.0 0.75 0.5 0.0 0.0 0.0 0.0 0.0 mgla
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 nacisk
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 nalega
1.0 0.0 0.0 0.6666666666666666 0.6666666666666666 0.0 0.0 0.0 0.0 ofiary
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 pancerny
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 pilot
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 pogoda
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 prezydent
0.23529411764705882 0.11764705882352941 0.17647058823529413 0.0 0.0 0.0 0.0 0.7647058823529411 1.0 prokuratura
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 przyczyny
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 rosja
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 rosyjski
1.0 0.0 0.0 0.4 0.0 0.0 0.0 0.0 0.0 samolot
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 sekcja
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 skrzydlo
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 skrzynka
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 slad
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 sledztwo
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 spis
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 stenogram
0.0 0.0 0.0 1.0 0.4 0.0 0.0 0.0 0.2 strzal
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 swiadek
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 trotyl
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 tupolew
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 wieza
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 wrak
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 wybuch
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 zamach
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 zaniedbanie
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 zbrodnia
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 zdrada
